epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3346,2.61732,3.64099,2.14096,0.17278,0.04,0.00902,0.00115,3.23756,3.64449,2.9941,0.00012,0.00012,0.00012
2,16.2923,1.36123,1.94992,1.27369,0.68565,0.61108,0.64005,0.39543,1.29147,2.10121,1.42314,0.000257426,0.000257426,0.000257426
3,19.5004,1.10303,1.12141,1.12144,0.05234,0.56,0.04871,0.02624,1.42191,21.0786,1.58601,0.00039208,0.00039208,0.00039208
4,22.6013,1.17974,1.21343,1.1307,0.02214,0.48,0.07095,0.0366,1.63728,107.405,2.58902,0.000523962,0.000523962,0.000523962
5,25.7181,1.20149,1.15479,1.1482,0.00048,0.04,0.00038,4e-05,5.40775,inf,63.4496,0.000653072,0.000653072,0.000653072
6,28.8309,1.18802,1.09754,1.14109,0,0,0,0,nan,nan,nan,0.00077941,0.00077941,0.00077941
7,31.9344,1.25825,1.08424,1.16664,0,0,0,0,nan,nan,nan,0.000902976,0.000902976,0.000902976
8,35.0035,1.29496,1.10926,1.20131,0,0,0,0,nan,nan,nan,0.00102377,0.00102377,0.00102377
9,38.0214,1.20196,1.03652,1.15335,0,0,0,0,2.47246,8528,1362.11,0.00114179,0.00114179,0.00114179
10,41.0923,1.2375,1.0028,1.1713,0,0,0,0,nan,nan,nan,0.00125704,0.00125704,0.00125704
11,44.0841,1.27697,1.04354,1.15486,0.01684,0.4,0.01096,0.00327,2.98572,50.7306,5.27221,0.00136952,0.00136952,0.00136952
12,47.1686,1.18168,0.97213,1.12797,0.09663,0.36,0.08483,0.03702,2.68631,17.1242,4.31638,0.00147923,0.00147923,0.00147923
13,50.1399,1.20316,1.0162,1.14803,0.02408,0.32,0.01532,0.00296,3.95829,4.3011,7.2556,0.00158616,0.00158616,0.00158616
14,53.1629,1.13369,1.00496,1.12167,0,0,0,0,nan,nan,nan,0.00169032,0.00169032,0.00169032
15,56.1239,1.17386,1.00459,1.15876,0,0,0,0,nan,nan,nan,0.0017228,0.0017228,0.0017228
16,59.1474,1.20138,0.97459,1.15747,0,0,0,0,nan,nan,nan,0.001703,0.001703,0.001703
17,62.1158,1.17833,0.93552,1.11743,0.26808,0.08,0.04137,0.02252,3.81321,5.48754,7.0661,0.0016832,0.0016832,0.0016832
18,65.1734,1.17039,0.94781,1.1565,0,0,0,0,nan,nan,nan,0.0016634,0.0016634,0.0016634
19,68.1355,1.09193,0.95385,1.12325,0,0,0,0,nan,nan,nan,0.0016436,0.0016436,0.0016436
20,71.1825,1.15555,0.93883,1.14781,0.16286,0.08,0.03303,0.00769,4.12755,4.37493,6.05928,0.0016238,0.0016238,0.0016238
21,74.1669,1.2147,0.96216,1.15617,0.18927,0.12,0.06769,0.02556,3.14053,3.9926,3.52715,0.001604,0.001604,0.001604
22,77.2123,1.15723,0.8888,1.11395,0.32791,0.36,0.33767,0.17039,1.67625,4.10954,2.12812,0.0015842,0.0015842,0.0015842
